epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2813405394554138,4.263490200042725,1e-04,0.2377232164144516,5.442371368408203
1,0.3356955945491791,3.4630675315856934,1e-04,0.4026227593421936,3.0558857917785645
2,0.3742014169692993,2.9294188022613525,1e-04,0.4263392984867096,2.588710308074951
3,0.403316468000412,2.5127594470977783,1e-04,0.4633091390132904,2.224497079849243
4,0.42401814460754395,2.199141263961792,1e-04,0.4754464328289032,1.947473406791687
5,0.44485947489738464,1.969412922859192,1e-04,0.4974888265132904,1.7637206315994263
6,0.4645138680934906,1.7872179746627808,1e-04,0.4966517984867096,1.632243275642395
7,0.47980451583862305,1.6515690088272095,1e-04,0.5131138563156128,1.529701590538025
8,0.5023215413093567,1.541572093963623,1e-04,0.5428292155265808,1.4139560461044312
9,0.5164950489997864,1.4583587646484375,1e-04,0.5518973469734192,1.34697687625885
10,0.5359399318695068,1.394510269165039,1e-04,0.552734375,1.3223360776901245
11,0.551405131816864,1.337960124015808,1e-04,0.56640625,1.2840635776519775
12,0.5624716281890869,1.2872320413589478,1e-04,0.5870535969734192,1.2171165943145752
13,0.572141706943512,1.2495595216751099,1e-04,0.5863560438156128,1.2082923650741577
14,0.5858265161514282,1.2114146947860718,1e-04,0.5912388563156128,1.1915905475616455
15,0.5966835618019104,1.1815776824951172,1e-04,0.6053292155265808,1.148528814315796
16,0.6050270795822144,1.152158260345459,1e-04,0.5962611436843872,1.181071162223816
17,0.6129167675971985,1.121339201927185,1e-04,0.615234375,1.1301398277282715
18,0.6262174844741821,1.0957574844360352,1e-04,0.6155133843421936,1.123579502105713
19,0.6391342282295227,1.0648030042648315,1e-04,0.6227678656578064,1.1003239154815674
20,0.6443707346916199,1.046459674835205,1e-04,0.6241629719734192,1.0949814319610596
21,0.6530284285545349,1.0195837020874023,1e-04,0.6276506781578064,1.1107583045959473
22,0.6663641333580017,0.9951483011245728,1e-04,0.6247209906578064,1.1163733005523682
23,0.6703089475631714,0.9786245226860046,1e-04,0.6251395344734192,1.1197106838226318
24,0.6777448058128357,0.9580575823783875,1e-04,0.6332310438156128,1.1031113862991333
25,0.6860883235931396,0.9346831440925598,1e-04,0.6390904188156128,1.1066676378250122
26,0.693838357925415,0.9105966091156006,1e-04,0.6328125,1.1077390909194946
27,0.7236166596412659,0.8437591195106506,2e-05,0.6466239094734192,1.0848666429519653
28,0.7392215132713318,0.8152499794960022,2e-05,0.6471819281578064,1.0707489252090454
29,0.7362890839576721,0.8073232173919678,2e-05,0.6515067219734192,1.0759122371673584
30,0.7433409094810486,0.7881396412849426,2e-05,0.6520647406578064,1.0838794708251953
31,0.7460638880729675,0.7759581804275513,2e-05,0.6463448405265808,1.0870516300201416
32,0.7495548725128174,0.7663917541503906,2e-05,0.6583426594734192,1.0781387090682983
33,0.7526270151138306,0.7607632279396057,2e-05,0.6556919813156128,1.094258427619934
34,0.7567463517189026,0.7503570914268494,2e-05,0.6534598469734192,1.0767158269882202
35,0.7620876431465149,0.7329279780387878,4e-06,0.6589006781578064,1.0749269723892212
36,0.7647407650947571,0.7221248745918274,4e-06,0.6584821343421936,1.0772019624710083
37,0.7679176330566406,0.7228751182556152,4e-06,0.6587611436843872,1.0788575410842896
38,0.768406331539154,0.7170612215995789,4e-06,0.6589006781578064,1.0766384601593018
39,0.7673590779304504,0.7188972234725952,4e-06,0.6598772406578064,1.0793427228927612
40,0.7697678208351135,0.7132730484008789,4e-06,0.6602957844734192,1.0777075290679932
41,0.7695583701133728,0.7125470638275146,8e-07,0.6594586968421936,1.0784164667129517
42,0.7684761881828308,0.7113499641418457,8e-07,0.6589006781578064,1.0783652067184448
43,0.7704660296440125,0.7140465378761292,8e-07,0.6600167155265808,1.0768663883209229
44,0.7704311609268188,0.7078824639320374,8e-07,0.6608538031578064,1.076696515083313
45,0.7731541395187378,0.71014004945755,8e-07,0.6595982313156128,1.0768252611160278
46,0.7678477764129639,0.7142114639282227,8e-07,0.6605747938156128,1.0764927864074707
47,0.7698726058006287,0.7140441536903381,1.6e-07,0.6597377061843872,1.0776922702789307
48,0.7722464799880981,0.7034764885902405,1.6e-07,0.6604352593421936,1.0788389444351196
49,0.7716529965400696,0.7086731791496277,1.6e-07,0.6611328125,1.0781573057174683
50,0.7740967273712158,0.7030001282691956,1.6e-07,0.6615513563156128,1.0781081914901733
51,0.7733985185623169,0.7115965485572815,1.6e-07,0.6605747938156128,1.0787988901138306
52,0.7725257277488708,0.7050498127937317,1.6e-07,0.6602957844734192,1.078912615776062
53,0.7708151340484619,0.7121055722236633,3.2e-08,0.6604352593421936,1.079483985900879
54,0.7683016061782837,0.7097508907318115,3.2e-08,0.6604352593421936,1.0783072710037231
55,0.7711642384529114,0.7090672850608826,3.2e-08,0.6602957844734192,1.0788369178771973
56,0.7732588648796082,0.70383620262146,3.2e-08,0.6602957844734192,1.0790897607803345
57,0.7712340950965881,0.7121762633323669,3.2e-08,0.6608538031578064,1.0784190893173218
58,0.7713038921356201,0.708610475063324,3.2e-08,0.6607142686843872,1.078041672706604
59,0.7729097604751587,0.7064443826675415,6.3999996e-09,0.6612723469734192,1.077573537826538
